2026-03-13 21:34:19,997 INFO     topologybench: Booting SAGE agent system...
2026-03-13 21:34:20,320 INFO     sage.strategy.knn_router: kNN: loaded 50 exemplars from C:\Code\YGN-SAGE\sage-python\config\routing_exemplars.npz
2026-03-13 21:34:20,324 INFO     sage.strategy.knn_router: kNN: Rust acceleration active (50 exemplars)
C:\ProgramData\miniforge3\Lib\site-packages\requests\__init__.py:113: RequestsDependencyWarning: urllib3 (2.6.3) or chardet (7.1.0)/charset_normalizer (3.4.4) doesn't match a supported version!
  warnings.warn(
2026-03-13 21:34:28,483 INFO     sage.memory.embedder: Embedder: using sentence-transformers backend
2026-03-13 21:34:28,486 INFO     sage.boot: Boot: kNN router loaded (50 exemplars, sentence_transformers)
2026-03-13 21:34:28,486 INFO     sage.strategy.adaptive_router: AdaptiveRouter: Python heuristic fallback
2026-03-13 21:34:28,486 INFO     sage.boot: Boot: cards.toml not found, using Python AdaptiveRouter
2026-03-13 21:34:28,486 INFO     sage.boot: Boot: Phase 6 active — TopologyEngine + ContextualBandit ready
2026-03-13 21:34:28,486 INFO     sage.memory.embedder: Embedder: using sentence-transformers backend
2026-03-13 21:34:28,496 INFO     sage.providers.registry: Loaded model profiles from C:\Code\YGN-SAGE\sage-python\config\model_profiles.toml (18 entries)
2026-03-13 21:34:29,571 INFO     httpx: HTTP Request: GET https://generativelanguage.googleapis.com/v1beta/models "HTTP/1.1 200 OK"
2026-03-13 21:34:29,576 INFO     sage.providers.connector: Discovered 21 models from google
2026-03-13 21:34:30,705 INFO     httpx: HTTP Request: GET https://api.openai.com/v1/models "HTTP/1.1 200 OK"
2026-03-13 21:34:30,837 INFO     sage.providers.connector: Discovered 71 models from openai
2026-03-13 21:34:31,029 INFO     httpx: HTTP Request: GET https://api.x.ai/v1/models "HTTP/1.1 200 OK"
2026-03-13 21:34:31,031 INFO     sage.providers.connector: Discovered 11 models from xai
2026-03-13 21:34:31,031 INFO     sage.providers.connector: Discovered 3 models from minimax
2026-03-13 21:34:31,418 INFO     httpx: HTTP Request: GET https://api.moonshot.ai/v1/models "HTTP/1.1 200 OK"
2026-03-13 21:34:31,420 INFO     sage.providers.connector: Discovered 13 models from kimi
2026-03-13 21:34:31,426 INFO     sage.providers.connector: Codex CLI detected on PATH
2026-03-13 21:34:31,426 INFO     sage.providers.registry: New model discovered: gemini-2.5-pro (google) -- no TOML profile, using defaults
2026-03-13 21:34:31,427 INFO     sage.providers.registry: New model discovered: gemini-2.0-flash (google) -- no TOML profile, using defaults
2026-03-13 21:34:31,427 INFO     sage.providers.registry: New model discovered: gemini-2.0-flash-001 (google) -- no TOML profile, using defaults
2026-03-13 21:34:31,427 INFO     sage.providers.registry: New model discovered: gemini-2.0-flash-lite-001 (google) -- no TOML profile, using defaults
